"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Homesfy Realty Limited","SME",,"HOMESFY","21-DEC-2022","23-DEC-2022","197","02-JAN-2023"
"Elin Electronics Limited","EQ","   247","ELIN","20-DEC-2022","22-DEC-2022","Rs.234 to Rs.247","30-DEC-2022"
"KFin Technologies Limited","EQ","   366","KFINTECH","19-DEC-2022","21-DEC-2022","Rs.347 to Rs.366","29-DEC-2022"
"Arihant Academy Limited","SME",,"AAL","16-DEC-2022","21-DEC-2022","90","29-DEC-2022"
"Uma Converter Limited","SME",,"UMA","15-DEC-2022","21-DEC-2022","33","29-DEC-2022"
"Dollex Agrotech Limited","SME",,"DOLLEX","15-DEC-2022","20-DEC-2022","35","28-DEC-2022"
"Landmark Cars Limited","EQ","   506","LANDMARK","13-DEC-2022","15-DEC-2022","Rs.481 to Rs.506","23-DEC-2022"
"Sula Vineyards Limited","EQ","   357","SULA","12-DEC-2022","14-DEC-2022","Rs.340 to Rs.357","22-DEC-2022"
"Abans Holdings Limited","EQ","   270","AHL","12-DEC-2022","15-DEC-2022","Rs.256 to Rs.270","23-DEC-2022"
"All E Technologies Limited","SME",,"ALLETEC","09-DEC-2022","13-DEC-2022","90","21-DEC-2022"
"Arham Technologies Limited","SME",,"ARHAM","05-DEC-2022","07-DEC-2022","42","15-DEC-2022"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","01-DEC-2022","22-DEC-2022","Rs.1000","09-APR-2024"
"Uniparts India Limited","EQ","   577","UNIPARTS","30-NOV-2022","02-DEC-2022","Rs.548 to Rs.577","12-DEC-2022"
"Dharmaj Crop Guard Limited","EQ","   237","DHARMAJ","28-NOV-2022","30-NOV-2022","Rs.216 to Rs.237	","08-DEC-2022"
"Baheti Recycling Industries Limited","SME",,"BAHETI","28-NOV-2022","30-NOV-2022","45","08-DEC-2022"
"Pritika Engineering Components Limited","SME",,"PRITIKA","25-NOV-2022","30-NOV-2022","29","08-DEC-2022"
"Keystone Realtors Limited","EQ","   541","RUSTOMJEE","14-NOV-2022","16-NOV-2022","Rs.514 to Rs.541","24-NOV-2022"
"CreditAccess Grameen Limited","NE","  1000","CREDITACC","14-NOV-2022","17-NOV-2022","Rs.1000","11-SEP-2023"
"Inox Green Energy Services Limited","EQ","    65","INOXGREEN","11-NOV-2022","15-NOV-2022","Rs.61 to Rs.65","23-NOV-2022"
"Kaynes Technology India Limited","EQ","   587","KAYNES","10-NOV-2022","14-NOV-2022","Rs.559 to Rs.587","22-NOV-2022"
"Archean Chemical Industries Limited","EQ","   407","ACI","09-NOV-2022","11-NOV-2022","Rs.386 to Rs.407","21-NOV-2022"
"FiveStar Business Finance Limited","EQ","-","FIVESTAR","09-NOV-2022","11-NOV-2022","Rs.450 to Rs.474","-"
"Bikaji Foods International Limited","EQ","   300","BIKAJI","03-NOV-2022","07-NOV-2022","Rs.285 to Rs.300","16-NOV-2022"
"Global Health Limited","EQ","   336","MEDANTA","03-NOV-2022","07-NOV-2022","Rs.319 to Rs.336","16-NOV-2022"
"Fusion Micro Finance Limited","EQ","   368","FUSION","02-NOV-2022","04-NOV-2022","Rs.350 to Rs.368","15-NOV-2022"
"Amiable Logistics (India) Limited","SME",,"AMIABLE","02-NOV-2022","07-NOV-2022","81","16-NOV-2022"
"DCX System limited","EQ","-","DCX","31-OCT-2022","02-NOV-2022","Rs.197 to Rs.207","-"
"Rite Zone Chemcon India Limited","SME",,"RITEZONE","31-OCT-2022","02-NOV-2022","75","11-NOV-2022"
"Integrated Personnel Services Limited","SME",,"IPSL","31-OCT-2022","02-NOV-2022","59","11-NOV-2022"
"Vital Chemtech Limited","SME",,"VITAL","31-OCT-2022","03-NOV-2022","101","14-NOV-2022"
"National Highways Infra Trust","N3","   400","NHIT","17-OCT-2022","18-OCT-2022","Rs.1000","28-OCT-2022"
"Phantom Digital Effects Limited","SME",,"PHANTOMFX","12-OCT-2022","14-OCT-2022","95","21-OCT-2022"
"Tracxn Technologies Limited","EQ","    80","TRACXN","10-OCT-2022","12-OCT-2022","Rs.75 to Rs.80","20-OCT-2022"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","07-OCT-2022","28-OCT-2022","Rs.1000","09-APR-2024"
"Electronics Mart India Limited","EQ","    59","EMIL","04-OCT-2022","07-OCT-2022","Rs.56 to Rs.59","17-OCT-2022"
"Swastik Pipe Limited","SME",,"SWASTIK","29-SEP-2022","03-OCT-2022","100","12-OCT-2022"
"Frog Cellsat Limited","SME",,"FROG","29-SEP-2022","04-OCT-2022","102","13-OCT-2022"
"Lloyds Luxuries Limited","SME",,"LLOYDS","28-SEP-2022","30-SEP-2022","40","11-OCT-2022"
"Cyber Media Research & Services Limited","SME",,"CMRSL","27-SEP-2022","29-SEP-2022","180","10-OCT-2022"
"QMS Medical Allied Services Limited","SME",,"QMSMEDI","27-SEP-2022","30-SEP-2022","121","11-OCT-2022"
"Maks Energy Solutions India Limited","SME",,"MAKS","16-SEP-2022","20-SEP-2022","20","28-SEP-2022"
"Varanium Cloud Limited","SME",,"CLOUDPP","16-SEP-2022","20-SEP-2022","61.5","20-OCT-2023"
"Kandarp Digi Smart BPO Limited","SME",,"KANDARP","16-SEP-2022","20-SEP-2022","30","28-SEP-2022"
"Annapurna Swadisht Limited","SME",,"ANNAPURNA","15-SEP-2022","19-SEP-2022","70","27-SEP-2022"
"Harsha Engineers International Limited","EQ","   330","HARSHA","14-SEP-2022","16-SEP-2022","Rs.314 to Rs.330","26-SEP-2022"
"Tapi Fruit Processing Limited","SME",,"TAPIFRUIT","12-SEP-2022","14-SEP-2022","48","22-SEP-2022"
"Ishan International Limited","SME",,"ISHAN","09-SEP-2022","14-SEP-2022","80","22-SEP-2022"
"Sabar Flex India Limited","SME",,"SABAR","08-SEP-2022","13-SEP-2022","11","21-SEP-2022"
"Mega Flex Plastics Limited","SME",,"MEGAFLEX","06-SEP-2022","09-SEP-2022","40","19-SEP-2022"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","05-SEP-2022","22-SEP-2022","Rs.1000","09-APR-2024"
"U Gro Capital Limited","DEBT","-","UGROD3","05-SEP-2022","20-SEP-2022","Rs.1000","-"
"Tamilnad Mercantile Bank Limited","BE","   510","TMB","05-SEP-2022","07-SEP-2022","Rs.500 to Rs.525","15-SEP-2022"
"Viviana Power Tech Limited","SME",,"VIVIANA","05-SEP-2022","08-SEP-2022","55","16-SEP-2022"
"Jay Jalaram Technologies Limited","SME",,"KORE","26-AUG-2022","30-AUG-2022","36","08-SEP-2022"
"JFL Life Sciences Limited","SME",,"JFLLIFE","25-AUG-2022","30-AUG-2022","61","08-SEP-2022"
"Ameya Precision Engineers Limited","SME",,"AMEYA","25-AUG-2022","30-AUG-2022","34","08-SEP-2022"
"Dreamfolks Services Limited","EQ","   326","DREAMFOLKS","24-AUG-2022","26-AUG-2022","Rs.308 to Rs.326","06-SEP-2022"
"Syrma SGS Technology Limited","EQ","   220","SYRMA","12-AUG-2022","18-AUG-2022","Rs.209 to Rs.220","26-AUG-2022"
"Veekayem Fashion and Apparels Limited","SME",,"VEEKAYEM","05-AUG-2022","11-AUG-2022","28","22-AUG-2022"
"Upsurge Seeds of Agriculture Limited","SME",,"USASEEDS","29-JUL-2022","02-AUG-2022","120","11-AUG-2022"
"Agni Green Power Limited","SME",,"AGNI","20-JUL-2022","22-JUL-2022","10","01-AUG-2022"
"SKP Bearing Industries Limited","SME",,"SKP","30-JUN-2022","05-JUL-2022","70","13-JUL-2022"
"Mangalam Worldwide Limited","SME",,"MWL","30-JUN-2022","04-JUL-2022","101","11-JUL-2022"
"KCK Industries Limited","SME",,"KCK","27-JUN-2022","30-JUN-2022","30","08-JUL-2022"
"Fidel Softech Limited","SME",,"FIDEL","30-MAY-2022","02-JUN-2022","37","10-JUN-2022"
"Aether Industries Limited","EQ","   642","AETHER","24-MAY-2022","26-MAY-2022","Rs.610 to Rs.642","03-JUN-2022"
"Navi Finserv Limited","ND","  1000","NAVIFIN","23-MAY-2022","02-JUN-2022","Rs.1000","18-MAR-2024"
"Globesecure Technologies Limited","SME",,"GSTL","23-MAY-2022","25-MAY-2022","29","02-JUN-2022"
"eMudhra Limited","EQ","   256","EMUDHRA","20-MAY-2022","24-MAY-2022","Rs.243 to Rs.256","01-JUN-2022"
"Rachana Infrastructure Limited","SME",,"RILINFRA","20-MAY-2022","02-JUN-2022","135","10-JUN-2022"
"ETHOS Limited","EQ","   878","ETHOSLTD","18-MAY-2022","20-MAY-2022","Rs.836 to Rs.878","30-MAY-2022"
"Paradeep Phosphates Limited","EQ","    42","PARADEEP","17-MAY-2022","19-MAY-2022","Rs.39 to Rs.42","27-MAY-2022"
"Delhivery Limited","EQ","   487","DELHIVERY","11-MAY-2022","13-MAY-2022","Rs.462 to Rs.487","24-MAY-2022"
"Venus Pipes and Tubes Limited","EQ","-","VENUSPIPES","11-MAY-2022","13-MAY-2022","Rs.310 to Rs.326","-"
"Prudent Corporate Advisory Services Limited","EQ","   630","PRUDENT","10-MAY-2022","12-MAY-2022","Rs.595 to Rs.630","20-MAY-2022"
"Life Insurance Corporation of India","EQ","   949","LICI","04-MAY-2022","09-MAY-2022","Rs.902 to Rs.949","17-MAY-2022"
"Sonu Infratech Limited","SME",,"SONUINFRA","29-APR-2022","05-MAY-2022","36","13-MAY-2022"
"Rainbow Childrens Medicare Limited","EQ","   542","RAINBOW","27-APR-2022","29-APR-2022","Rs.516 to Rs.542","10-MAY-2022"
"Campus Activewear Limited","EQ","   292","CAMPUS","26-APR-2022","28-APR-2022","Rs.278 to Rs.292","09-MAY-2022"
"LE MERITE EXPORTS LIMITED","SME",,"LEMERITE","25-APR-2022","28-APR-2022","75","09-MAY-2022"
"Dhani Loans and Services Limited","DEBT","-","DLSL05","19-APR-2022","10-MAY-2022","Rs.1000","19-MAY-2022"
"U Gro Capital Limited","DEBT","-","UGROD2","07-APR-2022","28-APR-2022","Rs.1000","-"
"Hariom Pipe Industries Limited","BE","   153","HARIOMPIPE","30-MAR-2022","05-APR-2022","Rs.144 to Rs.153","13-APR-2022"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","30-MAR-2022","22-APR-2022","Rs.1000","09-APR-2024"
"Jeena Sikho Lifecare Limited","SME",,"JSLL","30-MAR-2022","07-APR-2022","150","19-APR-2022"
"Veranda Learning Solutions Limited","BE","   137","VERANDA","29-MAR-2022","31-MAR-2022","Rs.130 to Rs.137","11-APR-2022"
"UMA Exports Limited","BE","    68","UMAEXPORTS","28-MAR-2022","30-MAR-2022","Rs.65 to Rs.68","07-APR-2022"
"Krishna Defence And Allied Industries Limited","SME",,"KRISHNADEF","25-MAR-2022","29-MAR-2022","39","06-APR-2022"
"Ruchi Soya Industries Limited","EQ","-","RUCHISOYA","24-MAR-2022","28-MAR-2022","Rs.615 to Rs.650","-"
"P.E. Analytics Limited","SME",,"PROPEQUITY","22-MAR-2022","25-MAR-2022","Rs.111 to Rs.114","-"
"Empyrean Cashews Limited","SME",,"KRISHIVAL","21-MAR-2022","23-MAR-2022","37","31-MAR-2022"
"KN Agri Resources Limited","SME",,"KNAGRI","15-MAR-2022","17-MAR-2022","75","28-MAR-2022"
"Swaraj Suiting Limited","SME",,"SWARAJ","15-MAR-2022","17-MAR-2022","56","28-MAR-2022"
"Cool Caps Industries Limited","SME",,"COOLCAPS","10-MAR-2022","15-MAR-2022","38","24-MAR-2022"
"SP Refractories Limited","SME",,"SPRL","09-MAR-2022","11-MAR-2022","90","22-MAR-2022"
"Shigan Quantum Technologies Limited","SME",,"SHIGAN","28-FEB-2022","03-MAR-2022","50","11-MAR-2022"
"Vaidya Sane Ayurved Laboratories Limited","SME",,"MADHAVBAUG","10-FEB-2022","15-FEB-2022","73","23-FEB-2022"
"Richa Info Systems Limited","SME",,"RICHA","09-FEB-2022","11-FEB-2022","125","21-FEB-2022"
"Vedant Fashions Limited","EQ","   866","MANYAVAR","04-FEB-2022","08-FEB-2022","Rs.824 to Rs.866","16-FEB-2022"
"Adani Wilmar Limited","EQ","   230","AWL","27-JAN-2022","31-JAN-2022","Rs.218 to Rs.230","08-FEB-2022"
"InCred Financial Services Limited","N7","  1000","INCREDFIN","24-JAN-2022","14-FEB-2022","Rs.1000","06-FEB-2023"
"AGS Transact Technologies Limited","EQ","   175","AGSTRA","19-JAN-2022","21-JAN-2022","Rs.166 to Rs.175","31-JAN-2022"
"Precision Metaliks Limited","SME",,"PRECISION","19-JAN-2022","24-JAN-2022","51","01-FEB-2022"
"Dhani Loans and Services Limited","Y5","  1000","DHANILOANS","04-JAN-2022","27-JAN-2022","Rs.1000","19-MAY-2022"
"Timescan Logistics (India) Private Limited","SME",,"TIMESCAN","31-DEC-2021","04-JAN-2022","Rs.51","-"
"AB Cotspin India Limited","SME",,"ABCOTS","30-DEC-2021","03-JAN-2022","Rs.33 to Rs.35","-"
"CMS Info Systems Limited","EQ","   216","CMSINFO","21-DEC-2021","23-DEC-2021","Rs.205 to Rs.216","31-DEC-2021"
"Vivo Collaboration Solutions Limited","SME",,"VIVO","20-DEC-2021","23-DEC-2021","82","31-DEC-2021"
"Supriya Lifescience Limited","EQ","   274","SUPRIYA","16-DEC-2021","20-DEC-2021","Rs.265 to Rs.274","28-DEC-2021"
"HP Adhesives Limited","BE","   274","HPAL","15-DEC-2021","17-DEC-2021","Rs. 262 to Rs.274","27-DEC-2021"
"Data Patterns (India) Limited","EQ","   585","DATAPATTNS","14-DEC-2021","16-DEC-2021","Rs. 555 to Rs.585","24-DEC-2021"
"Euro Panel Products Limited","SME",,"EUROBOND","14-DEC-2021","16-DEC-2021","70","24-DEC-2021"
"MedPlus Health Services Limited","EQ","   796","MEDPLUS","13-DEC-2021","15-DEC-2021","Rs. 780 to Rs.796","23-DEC-2021"
"Nupur Recyclers Limited","SME",,"NRL","13-DEC-2021","15-DEC-2021","60","23-DEC-2021"
"Foce India Limited","SME",,"FOCE","13-DEC-2021","17-DEC-2021","225","28-DEC-2021"
"Metro Brands Limited","EQ","   500","METROBRAND","10-DEC-2021","14-DEC-2021","Rs.485 to Rs.500","22-DEC-2021"
"C.E. Info Systems Limited","EQ","  1033","MAPMYINDIA","09-DEC-2021","13-DEC-2021","Rs.1000 to Rs.1033","21-DEC-2021"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","09-DEC-2021","31-DEC-2021","Rs.1000","09-APR-2024"
"Shriram Properties Limited","EQ","   118","SHRIRAMPPS","08-DEC-2021","10-DEC-2021","Rs.113 to Rs.118","20-DEC-2021"
"IIFL Home Finance Limited","N1","  1000","IHFL261224","08-DEC-2021","28-DEC-2021","Rs.1000","30-DEC-2024"
"RateGain Travel Technologies Limited","EQ","   425","RATEGAIN","07-DEC-2021","09-DEC-2021","Rs.405 to Rs.425","17-DEC-2021"
"Anand Rathi Wealth Limited","EQ","   550","ANANDRATHI","02-DEC-2021","06-DEC-2021","Rs.530 to Rs.550","14-DEC-2021"
"Tega Industries Limited","EQ","   453","TEGA","01-DEC-2021","03-DEC-2021","Rs.443 to Rs.453","13-DEC-2021"
"Star Health and Allied Insurance Company Limited","EQ","   900","STARHEALTH","30-NOV-2021","02-DEC-2021","Rs.870 to Rs.900","10-DEC-2021"
"Go Fashion (India) Limited","EQ","   690","GOCOLORS","17-NOV-2021","22-NOV-2021","Rs.655 to Rs.690","30-NOV-2021"
"Tarsons Products Limited","EQ","   662","TARSONS","15-NOV-2021","17-NOV-2021","Rs.635 to Rs.662","26-NOV-2021"
"Latent View Analytics Limited","EQ","   197","LATENTVIEW","10-NOV-2021","12-NOV-2021","Rs.190 to Rs.197","23-NOV-2021"
"Sapphire Foods India Limited","EQ","  1180","SAPPHIRE","09-NOV-2021","11-NOV-2021","Rs.1120 to Rs.1180","18-NOV-2021"
"One 97 Communications Limited","EQ","  2150","PAYTM","08-NOV-2021","10-NOV-2021","Rs.2080 to Rs.2150","18-NOV-2021"
"U Gro Capital Limited","DEBT","-","UGROD1","08-NOV-2021","10-NOV-2021","Rs.1000","-"
"S J S Enterprises Limited","EQ","-","SJS","01-NOV-2021","03-NOV-2021","Rs.531 to Rs.542","-"
"PB Fintech Limited","EQ","   980","POLICYBZR","01-NOV-2021","03-NOV-2021","Rs.940 to Rs.980","15-NOV-2021"
"Sigachi Industries Limited","BE","   163","SIGACHI","01-NOV-2021","03-NOV-2021","Rs.161 to Rs.163","15-NOV-2021"
"FINO Payments Bank Limited","EQ","   577","FINOPB","29-OCT-2021","02-NOV-2021","Rs.560 to Rs.577","12-NOV-2021"
"FSN Ecommerce Ventures Limited","EQ","-","NYKAA","28-OCT-2021","01-NOV-2021","Rs.1085 to Rs.1125","-"
"Nidan Laboratories and Healthcare Limited","SME",,"NIDAN","28-OCT-2021","02-NOV-2021","125","12-NOV-2021"
"Kotyark Industries Limited","SME",,"KOTYARK","21-OCT-2021","25-OCT-2021","51","02-NOV-2021"
"D. K. Enterprises Global Limited","SME",,"DKEGL","07-OCT-2021","12-OCT-2021","Rs.40","-"
"Bombay Metrics Supply Chain Limited","SME",,"BMETRICS","30-SEP-2021","04-OCT-2021","93","12-OCT-2021"
"Destiny Logistics & Infra Limited","SME",,"DESTINY","30-SEP-2021","05-OCT-2021","20","13-OCT-2021"
"Dynamic Services & Security Ltd.","SME",,"DYNAMIC","30-SEP-2021","05-OCT-2021","Rs.51","-"
"Aditya Birla Sun Life AMC Limited","EQ","   712","ABSLAMC","29-SEP-2021","01-OCT-2021","Rs.695 to Rs.712","11-OCT-2021"
"Jainam Ferro Alloys (I) Limited","SME",,"JAINAM","28-SEP-2021","30-SEP-2021","70","08-OCT-2021"
"IIFL Finance Limited","Y1","  1000","IIFL","27-SEP-2021","08-OCT-2021","Rs.1000","03-JUL-2023"
"JM Financial Products Limited","DEBT","-","JMFPIV","23-SEP-2021","01-OCT-2021","Rs.1000","-"
"Paras Defence and Space Technologies Limited","BE","   175","PARAS","21-SEP-2021","23-SEP-2021","Rs.165 to Rs.175","01-OCT-2021"
"Quadpro ITeS Limited","SME",,"QUADPRO","20-SEP-2021","22-SEP-2021","20","30-SEP-2021"
"Sansera Engineering Limited","EQ","   744","SANSERA","14-SEP-2021","16-SEP-2021","Rs.734 to Rs.744","24-SEP-2021"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","06-SEP-2021","20-SEP-2021","Rs.1000","09-APR-2024"
"BEW Engineering Limited","SME",,"BEWLTD","02-SEP-2021","07-SEP-2021","58","16-SEP-2021"
"Vijaya Diagnostic Centre Limited","EQ","   531","VIJAYA","01-SEP-2021","03-SEP-2021","Rs.522 to Rs.531","14-SEP-2021"
"Ami Organics Limited","EQ","   610","AMIORG","01-SEP-2021","03-SEP-2021","Rs.603 to Rs.610","14-SEP-2021"
"DU Digital Technologies Limited","SME",,"DUDIGITAL","12-AUG-2021","17-AUG-2021","65","26-AUG-2021"
"Chemplast Sanmar Limited","EQ","   541","CHEMPLASTS","10-AUG-2021","12-AUG-2021","Rs.530 to Rs.541","24-AUG-2021"
"Aptus Value Housing Finance India Limited","EQ","   353","APTUS","10-AUG-2021","12-AUG-2021","Rs.346 to Rs.353","24-AUG-2021"
"Nuvoco Vistas Corporation Limited","EQ","   570","NUVOCO","09-AUG-2021","11-AUG-2021","Rs.560 to Rs.570","23-AUG-2021"
"CarTrade Tech Limited","EQ","  1618","CARTRADE","09-AUG-2021","11-AUG-2021","Rs.1585 to Rs.1618","20-AUG-2021"
"Devyani International Limited","EQ","    90","DEVYANI","04-AUG-2021","06-AUG-2021","Rs.86 to Rs.90","16-AUG-2021"
